"","Speciation","Extinction","NetDiv"
"Osteoglossum_bicirrhosum",0.0348195569239635,0.0157636630252437,0.0190558938987197
"Osteoglossum_ferreirai",0.0348228634806038,0.0158416346475409,0.0189812288330629
"Arapaima_gigas",0.034978338716941,0.016687167498712,0.0182911712182289
"Galaxias_platei",0.034597759048276,0.0142129257198219,0.0203848333284541
"Galaxias_maculatus",0.0346134340695205,0.013991304527196,0.0206221295423245
"Aplochiton_zebra",0.0350900264342725,0.0143690767902506,0.0207209496440219
"Aplochiton_taeniatus",0.0350829482188659,0.0143432342894382,0.0207397139294277
"Brachygalaxias_bullocki",0.034744440829294,0.0140627361318704,0.0206817046974236
"Potamobatrachus_trispinosus",0.0345675956416194,0.0139511154538301,0.0206164801877893
"Thalassophryne_amazonica",0.0344158379965391,0.0138811934525803,0.0205346445439588
"Daector_gerringi",0.0345073085728574,0.0138794369680159,0.0206278716048415
"Daector_quadrizonatus",0.0345234504661376,0.0138187871014992,0.0207046633646384
"Awaous_transandeanus",0.0345626678457056,0.0137912926655412,0.0207713751801644
"Gobioides_peruanus",0.0344854571470084,0.0139547344986245,0.0205307226483838
"Eleotris_tecta",0.0345823075551681,0.0139380495571047,0.0206442579980634
"Microphilypnus_macrostoma",0.0346394828653944,0.0139255812171097,0.0207139016482846
"Microphilypnus_ternetzi",0.0346822754351264,0.013929155879152,0.0207531195559745
"Hemieleotris_latifasciata",0.0346064415560101,0.0140366044249588,0.0205698371310514
"Pseudophallus_mindii",0.0349324854279504,0.0148018297854262,0.0201306556425242
"Percilia_gillissi",0.0357809737463944,0.0147248480856262,0.0210561256607682
"Percilia_irwini",0.0357989513681832,0.0147270179331452,0.021071933435038
"Percichthys_trucha",0.0355597245648452,0.0146563136417067,0.0209034109231386
"Percichthys_melanops",0.0354823800570311,0.0146394376526803,0.0208429424043508
"Pachyurus_schomburgkii",0.159327983848403,0.0505407289781102,0.108787254870293
"Plagioscion_auratus",0.160936196780507,0.0506245324731734,0.110311664307333
"Plagioscion_surinamensis",0.160955629296486,0.0506146334480515,0.110340995848435
"Plagioscion_montei",0.160900344615061,0.0506591580537258,0.110241186561335
"Plagioscion_ternetzi",0.16095267748122,0.0506454539429896,0.11030722353823
"Plagioscion_squamosissimus",0.160953359188401,0.0507086639467392,0.110244695241661
"Pachyurus_adspersus",0.160991783412942,0.0506123333305662,0.110379450082376
"Pachyurus_francisci",0.160961070522778,0.050608395027854,0.110352675494924
"Pachyurus_gabrielensis",0.160929875132168,0.0505784956215298,0.110351379510638
"Pachyurus_paucirastrus",0.161029674461581,0.0505805159452393,0.110449158516342
"Pachyurus_stewarti",0.161029674461581,0.0505805159452393,0.110449158516342
"Pachyurus_junki",0.160961328477203,0.0505812829856093,0.110380045491593
"Pachyurus_bonariensis",0.160960505894867,0.0506111054115561,0.110349400483311
"Pachypops_trifilis",0.160978561424686,0.0506136038604999,0.110364957564186
"Pachypops_fourcroi",0.16097655587562,0.0506026947353906,0.110373861140229
"Synbranchus_marmoratus",0.0349394290523952,0.0143924964389945,0.0205469326134007
"Synbranchus_madeirae",0.0349443219991418,0.014396663939307,0.0205476580598348
"Catathyridium_jenynsii",0.0348780213219561,0.0141564703354699,0.0207215509864862
"Hypoclinemus_mentalis",0.0350012039258686,0.01418018445483,0.0208210194710386
"Apionichthys_sauli",0.0350982046391042,0.014217020935145,0.0208811837039592
"Apionichthys_menezesi",0.035100767701665,0.0141909032957149,0.0209098644059501
"Apionichthys_rosai",0.035062102543614,0.0140942463625816,0.0209678561810324
"Apionichthys_seripierriae",0.0349976078201418,0.0141013563483333,0.0208962514718085
"Monocirrhus_polyacanthus",0.0348021532301262,0.0140434319853887,0.0207587212447375
"Polycentrus_schomburgkii",0.0350076683160769,0.0142502535875634,0.0207574147285135
"Mugil_liza",0.0349110224868741,0.014601809359342,0.0203092131275322
"Retroculus_septentrionalis",0.178948022449302,0.0493492420135096,0.129598780435793
"Retroculus_lapidifer",0.179101596076596,0.0492619279465179,0.129839668130078
"Retroculus_xinguensis",0.17909177218606,0.0492030863004737,0.129888685885587
"Cichla_intermedia",0.183112182854916,0.0504209805935621,0.132691202261354
"Cichla_orinocensis",0.183109460393633,0.050421819513697,0.132687640879936
"Cichla_pleiozona",0.183117656769078,0.0504336194387064,0.132684037330372
"Cichla_kelberi",0.183117656769078,0.0504336194387064,0.132684037330372
"Cichla_ocellaris",0.183117656769078,0.0504336194387064,0.132684037330372
"Cichla_monoculus",0.183061412343206,0.0504599342368566,0.132601478106349
"Cichla_temensis",0.183114687613662,0.0504473045680652,0.132667383045597
"Cichla_vazzoleri",0.183120505810105,0.0504464473002237,0.132674058509881
"Cichla_melaniae",0.183120505810105,0.0504464473002237,0.132674058509881
"Cichla_piquiti",0.183120505810105,0.0504464473002237,0.132674058509881
"Aequidens_paloemeuensis",0.179576948484782,0.048947894218359,0.130629054266423
"Cleithracara_maronii",0.179576948484782,0.048947894218359,0.130629054266423
"Ivanacara_adoketa",0.179563565805106,0.0490870620643782,0.130476503740727
"Ivanacara_bimaculata",0.179607389153781,0.0489547652950994,0.130652623858682
"Bujurquina_labiosa",0.179615666156741,0.0488984960751269,0.130717170081614
"Nannacara_aureocephalus",0.179725915907598,0.0489340862063605,0.130791829701237
"Nannacara_anomala",0.179725915907598,0.0489340862063605,0.130791829701237
"Krobia_guianensis",0.179712211754408,0.0489548383258455,0.130757373428563
"Aequidens_potaroensis",0.179780788353348,0.0488588993807137,0.130921888972634
"Bujurquina_robusta",0.17981036869432,0.0488779466588039,0.130932422035516
"Aequidens_mauesanus",0.179833331279597,0.048834401161991,0.130998930117606
"Aequidens_pallidus",0.179823495057208,0.0488362044240832,0.130987290633125
"Aequidens_viridis",0.179823495057208,0.0488362044240832,0.130987290633125
"Bujurquina_ortegai",0.179794008166553,0.0488372010457555,0.130956807120798
"Aequidens_chimantanus",0.179761091192627,0.0488707156801762,0.130890375512451
"Aequidens_tubicen",0.179848338104003,0.0488463852002362,0.131001952903767
"Aequidens_michaeli",0.179833019678065,0.0488511387922872,0.130981880885778
"Bujurquina_tambopatae",0.179852993474416,0.0488483661363692,0.131004627338046
"Aequidens_metae",0.179843256695829,0.0488436225068229,0.130999634189006
"Aequidens_diadema",0.179853337491953,0.0488455792622285,0.131007758229725
"Aequidens_epae",0.179846389734335,0.0488620812332321,0.130984308501103
"Aequidens_tetramerus",0.179846389734335,0.0488620812332321,0.130984308501103
"Aequidens_patricki",0.179786349052525,0.0488992994198338,0.130887049632691
"Cichlasoma_araguaiense",0.17974400497384,0.0489550745790639,0.130788930394776
"Cichlasoma_paranaense",0.179830743719235,0.048835389242231,0.130995354477004
"Cichlasoma_pusillum",0.179830743719235,0.048835389242231,0.130995354477004
"Cichlasoma_portalegrense",0.179822264444115,0.0488311610745019,0.130991103369613
"Cichlasoma_dimerus",0.179830743719235,0.048835389242231,0.130995354477004
"Cichlasoma_sanctifranciscense",0.179834107490015,0.0488391407357943,0.13099496675422
"Cichlasoma_boliviense",0.179778476568941,0.0488455569737645,0.130932919595177
"Cichlasoma_amazonarum",0.179855626334718,0.0488941517344194,0.130961474600298
"Cichlasoma_bimaculatum",0.179830743719235,0.048835389242231,0.130995354477004
"Cichlasoma_orinocense",0.179794194146776,0.0488452318993988,0.130948962247377
"Rondonacara_hoehnei",0.179640204136267,0.0489865749952618,0.130653629141005
"Laetacara_araguaiae",0.179702296220837,0.0488634460095101,0.130838850211327
"Laetacara_thayeri",0.17977680058546,0.0488603999233958,0.130916400662064
"Laetacara_flavilabris",0.179802806442007,0.0488910157051731,0.130911790736834
"Laetacara_dorsigera",0.179808004805438,0.048846710202111,0.130961294603327
"Laetacara_curviceps",0.179751062033037,0.0489285589472678,0.130822503085769
"Acaronia_vultuosa",0.179694661329127,0.0488851257926622,0.130809535536465
"Acaronia_nassa",0.179733424881358,0.0488873464975741,0.130846078383784
"Andinoacara_biseriatus",0.179890164625754,0.0489764845165717,0.130913680109182
"Andinoacara_rivulatus",0.179931334244814,0.0489497204445807,0.130981613800233
"Aequidens_gerciliae",0.179931334244814,0.0489497204445807,0.130981613800233
"Bujurquina_zamorensis",0.179931334244814,0.0489497204445807,0.130981613800233
"Bujurquina_cordemadi",0.179956793934323,0.0490100981211211,0.130946695813202
"Aequidens_rondoni",0.17994561894608,0.0490142307170466,0.130931388229033
"Andinoacara_pulcher",0.179956793934323,0.0490100981211211,0.130946695813202
"Andinoacara_latifrons",0.179956793934323,0.0490100981211211,0.130946695813202
"Bujurquina_megalospilus",0.179761738590157,0.0489950616387189,0.130766676951438
"Tahuantinsuyoa_chipi",0.179872186788258,0.0489332392890126,0.130938947499245
"Tahuantinsuyoa_macantzatza",0.179906128074068,0.0489463914499925,0.130959736624076
"Bujurquina_vittata",0.18002537822156,0.0489355763068854,0.131089801914675
"Bujurquina_moriorum",0.179994121390483,0.0489375872305199,0.131056534159963
"Bujurquina_syspilus",0.179972464715954,0.0489309776567167,0.131041487059237
"Bujurquina_mariae",0.180104970415372,0.0489699952920122,0.13113497512336
"Bujurquina_apoparuana",0.180245712766025,0.0490676255244832,0.131178087241541
"Bujurquina_eurhinus",0.180265229853393,0.0490710568455681,0.131194173007825
"Bujurquina_hophrys",0.180265229853393,0.0490710568455681,0.131194173007825
"Bujurquina_huallagae",0.180265229853393,0.0490710568455681,0.131194173007825
"Krobia_itanyi",0.180265229853393,0.0490710568455681,0.131194173007825
"Aequidens_plagiozonatus",0.180253376879696,0.049061606301886,0.13119177057781
"Bujurquina_peregrinabunda",0.180253376879696,0.049061606301886,0.13119177057781
"Pterophyllum_altum",0.179816521024463,0.0489161584759518,0.130900362548511
"Pterophyllum_leopoldi",0.179812144406462,0.0488995995420685,0.130912544864394
"Pterophyllum_scalare",0.179812144406462,0.0488995995420685,0.130912544864394
"Hoplarchus_psittacus",0.179558393716994,0.0489655792297325,0.130592814487261
"Hypselecara_coryphaenoides",0.179741883001796,0.0488713595759393,0.130870523425857
"Hypselecara_temporalis",0.179655011254464,0.0489362460413811,0.130718765213083
"Mesonauta_egregius",0.180097415322539,0.0490748681211211,0.131022547201418
"Mesonauta_mirificus",0.180118066761529,0.0490676346378065,0.131050432123723
"Mesonauta_festivus",0.18015609766205,0.0490782320131346,0.131077865648915
