generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.032,0,0.005,0
2000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0821583,0.00647814,0.0816282,0
2000,Galaxias_platei,Aplochiton_zebra,120.749,0.0901826,-0.00253677,0.0698626,0
4000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0810933,0.00820096,0.0837658,0
4000,Galaxias_platei,Aplochiton_zebra,109.25,0.0391312,0.000728647,0.0261535,0
6000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0881305,0.00614531,0.0908658,0
6000,Galaxias_platei,Aplochiton_zebra,99.6807,0.0417056,-0.00536784,0.0300556,0
8000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0926938,0.00614531,0.10146,0
8000,Osteoglossum_bicirrhosum,Arapaima_gigas,122.074,0.0412558,-0.000125053,0.0724393,0
10000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0907201,0.00647432,0.0955034,0
10000,Osteoglossum_bicirrhosum,Arapaima_gigas,75.8118,0.0259338,0.00513074,0.0348983,0
12000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0933501,0.00693614,0.0964321,0
12000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,98.1508,0.0412113,0.00660553,0.0415264,0
14000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0906908,0.00727673,0.101179,0
14000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,89.5526,0.0682959,0.00361851,0.0647309,0
16000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0877958,0.00912502,0.101774,0
16000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,70.6699,0.0266036,0.0058092,0.0127268,0
18000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0945863,0.00671074,0.0999574,0
18000,Osteoglossum_bicirrhosum,Arapaima_gigas,13.6877,0.0117975,0.00437786,0.0250246,0
18000,Agamyxis_albomaculatus,NA,252.736,0.102868,-0.00103068,0.063781,0
20000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0981593,0.0060574,0.107853,0
20000,Osteoglossum_bicirrhosum,Arapaima_gigas,44.27,0.00661136,0.00039902,0.0178747,0
22000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0909131,0.00589693,0.0939739,0
22000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,95.5061,0.0325339,0.00564648,0.0272736,0
24000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.100756,0.00445328,0.105387,0
24000,Galaxias_platei,Aplochiton_zebra,118.313,0.175572,-0.00257919,0.134981,0
26000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0964006,0.00445328,0.0965274,0
26000,Galaxias_platei,Aplochiton_zebra,109.887,0.0312266,0.00190987,0.043012,0
28000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0929123,0.00635283,0.09869,0
30000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0923624,0.00584708,0.0927348,0
30000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,123.355,0.027356,-0.00121283,0.0103481,0
32000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0993494,0.00456349,0.0959933,0
32000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,76.9341,0.0914808,-0.000945899,0.0825661,0
34000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0985326,0.00517254,0.105034,0
34000,Osteoglossum_bicirrhosum,Arapaima_gigas,9.15154,0.0207467,0.00375834,0.0446008,0
36000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.100366,0.00462188,0.101696,0
36000,Osteoglossum_bicirrhosum,Arapaima_gigas,96.6535,0.0630498,0.00190185,0.0762376,0
38000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0997177,0.00572812,0.115356,0
38000,Osteoglossum_bicirrhosum,Arapaima_gigas,10.476,0.0788179,-0.00663781,0.0491859,0
40000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.102902,0.00437056,0.103263,0
40000,Galaxias_platei,Aplochiton_zebra,149.971,0.0832139,-0.00623411,0.095065,0
42000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0920134,0.00744342,0.103684,0
42000,Osteoglossum_bicirrhosum,Arapaima_gigas,92.473,0.116526,-0.000970748,0.114297,0
44000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0878126,0.00883036,0.0938247,0
44000,Osteoglossum_bicirrhosum,Arapaima_gigas,70.7512,0.0635686,0.00162306,0.0743081,0
46000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.100413,0.00524539,0.107633,0
48000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0882268,0.00711653,0.0928522,0
48000,Osteoglossum_bicirrhosum,Arapaima_gigas,9.67355,0.0903724,-0.00521578,0.0632069,0
50000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0872669,0.00701672,0.0922071,0
50000,Osteoglossum_bicirrhosum,Arapaima_gigas,15.3931,0.0615625,0.00103462,0.08614,0
52000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0873173,0.00789372,0.0926353,0
52000,Osteoglossum_bicirrhosum,Arapaima_gigas,39.0355,0.0508728,-0.000534267,0.0370263,0
54000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0972929,0.00656316,0.110671,0
54000,Osteoglossum_bicirrhosum,Arapaima_gigas,38.5738,0.0443282,-0.0092529,0.0197089,0
56000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0966168,0.00606055,0.107132,0
56000,Osteoglossum_bicirrhosum,Arapaima_gigas,71.006,0.00865817,0.0050394,0.0489551,0
58000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0999835,0.00592068,0.112814,0
58000,Osteoglossum_bicirrhosum,Arapaima_gigas,76.0514,0.00870761,0.00883587,0.0341349,0
60000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.098412,0.00573271,0.107814,0
60000,Osteoglossum_bicirrhosum,Arapaima_gigas,9.47895,0.027544,-0.00101555,0.0241304,0
62000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0965598,0.00479259,0.099092,0
62000,Osteoglossum_bicirrhosum,Arapaima_gigas,96.5557,0.149096,0.000106905,0.176922,0
64000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0990741,0.00479259,0.103386,0
64000,Osteoglossum_bicirrhosum,Arapaima_gigas,57.111,0.211525,0.000106905,0.234689,0
66000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0988039,0.00479259,0.0989589,0
66000,Osteoglossum_bicirrhosum,Arapaima_gigas,108.449,0.213226,-2.65176e-05,0.224326,0
68000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.101972,0.00479259,0.108176,0
68000,Osteoglossum_bicirrhosum,Arapaima_gigas,95.7326,0.177446,-0.00105967,0.177006,0
70000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.102116,0.00479259,0.103674,0
70000,Osteoglossum_bicirrhosum,Arapaima_gigas,62.5874,0.0962646,0.00145513,0.103848,0
72000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0991649,0.00485968,0.101334,0
72000,Osteoglossum_bicirrhosum,Arapaima_gigas,37.6242,0.12748,-0.00101963,0.117756,0
72000,Galaxias_platei,Aplochiton_zebra,87.2413,0.0449281,0.000495553,0.0400021,0
74000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0977194,0.00517735,0.102768,0
74000,Osteoglossum_bicirrhosum,Arapaima_gigas,40.3076,0.156747,-0.000879478,0.156103,0
74000,Galaxias_platei,Aplochiton_zebra,123.545,0.0190315,0.0101287,0.0394291,0
76000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.100228,0.00436717,0.0968004,0
76000,Osteoglossum_bicirrhosum,Arapaima_gigas,26.9419,0.126952,-0.00185116,0.106983,0
76000,Galaxias_platei,Aplochiton_zebra,166.426,0.102685,-0.00334345,0.0662812,0
78000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0933747,0.00371754,0.0740137,0
78000,Osteoglossum_bicirrhosum,Arapaima_gigas,47.649,0.0192732,0.00363454,0.0445944,0
78000,Galaxias_platei,Aplochiton_zebra,123.422,0.0373683,-0.00182311,0.0206987,0
78000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,80.8687,0.0498746,-9.72984e-05,0.0388399,0
78000,Hemipsilichthys_papillatus,NA,248.824,0.0733593,-0.00157883,0.037991,0
80000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0951772,0.00371754,0.0803645,0
80000,Osteoglossum_bicirrhosum,Arapaima_gigas,21.0182,0.103655,-0.00326272,0.0862898,0
80000,Galaxias_platei,Aplochiton_zebra,144.099,0.0506283,-0.00130794,0.0522082,0
80000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,98.7579,0.0997944,-0.00105565,0.0974374,0
82000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.096596,0.00405401,0.0894297,0
82000,Osteoglossum_bicirrhosum,Arapaima_gigas,72.0745,0.0221212,0.00300743,0.0355863,0
82000,Galaxias_platei,Aplochiton_zebra,138.511,0.143018,-0.00270676,0.136617,0
82000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,59.6733,0.173145,-0.00105565,0.149211,0
84000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.100154,0.00509891,0.106044,0
84000,Osteoglossum_bicirrhosum,Arapaima_gigas,43.7495,0.10103,-0.0058958,0.0599199,0
84000,Galaxias_platei,Aplochiton_zebra,120.639,0.0263593,0.00329619,0.0287816,0
86000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0987248,0.00405401,0.0904851,0
86000,Osteoglossum_bicirrhosum,Arapaima_gigas,21.1916,0.022749,-0.000865625,0.0377758,0
86000,Galaxias_platei,Aplochiton_zebra,138.277,0.022797,0.00900141,0.0178087,0
86000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,94.0781,0.104566,0.000335225,0.106466,0
88000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0986903,0.00357725,0.0825704,0
88000,Osteoglossum_bicirrhosum,Arapaima_gigas,42.0411,0.0141151,-0.00159414,0.0317206,0
88000,Galaxias_platei,Aplochiton_zebra,78.8366,0.0423991,-0.00289868,0.00208131,0
88000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,90.388,0.0915006,-0.00124005,0.0772105,0
90000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.103397,0.00439039,0.104678,0
90000,Osteoglossum_bicirrhosum,Arapaima_gigas,110.318,0.0857389,8.0894e-05,0.131807,0
92000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.102523,0.00369254,0.0920379,0
92000,Osteoglossum_bicirrhosum,Arapaima_gigas,128.132,0.0415271,0.00373876,0.0748376,0
92000,Galaxias_platei,Aplochiton_zebra,102.012,0.0318966,0.00391232,0.0546134,0
92000,Ramnogaster_melanostoma,Pterengraulis_atherinoides,79.2159,0.122709,-0.00320346,0.0780889,0
94000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0999453,0.00437877,0.0972505,0
94000,Osteoglossum_bicirrhosum,Arapaima_gigas,14.7548,0.0375845,0.00446183,0.0622294,0
96000,Osteoglossum_bicirrhosum,Galaxias_platei,0,0.0896959,0.00501482,0.0820989,0
