generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,6.19835,-11152.3,1,0
2000,1,10.7655,-9427.82,0.702513,0.267366
4000,1,11.4085,-9424.47,0.251273,0.321
6000,1,11.1149,-9422.44,0.42883,0.35225
8000,1,10.6584,-9416.54,1.17877,0.197667
10000,1,10.6145,-9415.37,0.91523,0.357
12000,1,10.7001,-9421.53,0.0826083,0.341375
14000,1,10.7783,-9418.76,0.256171,0.312
16000,1,9.04289,-9419.52,1.4368,0.339
18000,2,16.1711,-9416.81,1.82618,0.365286
20000,1,11.803,-9415.72,0.601453,0.403
22000,1,9.44277,-9417.76,2.14182,0.331227
24000,1,8.34891,-9421.3,2.29002,0.268647
26000,1,9.72954,-9420.7,2.73954,0.351
28000,0,4.88144,-9427.78,0.253263,0.312
30000,1,11.5381,-9422.25,0.949296,0.315
32000,1,11.45,-9417.68,0.341517,0.333167
34000,1,8.10795,-9413.84,3.92858,0.368667
36000,1,10.8539,-9414.83,1.05647,0.378
38000,1,8.27845,-9417.54,2.36647,0.35775
40000,1,10.044,-9421.71,0.766143,0.160583
42000,1,9.27336,-9415.94,1.27951,0.3302
44000,1,10.3421,-9419.85,0.378532,0.332
46000,0,4.94307,-9426.74,0.386021,0.22
48000,1,8.77878,-9416,1.90183,0.312
50000,1,10.6815,-9416.02,0.716986,0.332
52000,1,10.2364,-9417.87,1.28317,0.346
54000,1,7.91537,-9415.97,1.9787,0.381
56000,1,11.2589,-9417.29,0.317724,0.366
58000,1,8.39528,-9416.19,1.98992,0.329
60000,1,12.1411,-9414,0.141724,0.3755
62000,1,10.0295,-9415.91,0.65901,0.325
64000,1,9.4989,-9415.72,0.295055,0.292
66000,1,9.48119,-9415.92,0.407118,0.282
68000,1,9.13792,-9415.09,1.22138,0.331
70000,1,10.7322,-9417.36,0.720886,0.334
72000,2,16.679,-9406.41,1.35873,0.35975
74000,2,13.4154,-9407.85,1.7903,0.374
76000,2,16.5268,-9407.71,0.811089,0.352
78000,4,31.276,-9398.79,1.7783,0.342394
80000,3,22.125,-9399.13,2.36384,0.345
82000,3,17.7274,-9398.12,5.33237,0.309
84000,2,17.5325,-9407.41,0.140158,0.356
86000,3,20.075,-9396.6,3.85484,0.365
88000,3,25.2337,-9397.08,0.890514,0.388
90000,1,10.3391,-9416.38,1.11523,0.31
92000,3,22.6988,-9397.72,1.63899,0.351
94000,1,11.3078,-9413.78,0.574279,0.375
96000,1,10.3732,-9420.42,1.47527,0.335
98000,4,27.5333,-9381.4,1.84811,0.365
100000,4,28.9535,-9382.92,1.26155,0.346
102000,4,28.1741,-9380.34,3.14453,0.358
104000,4,27.5787,-9381.32,1.49714,0.353
106000,4,27.9432,-9381.7,3.40221,0.368
108000,5,32.2823,-9378.62,2.14501,0.385
110000,2,15.2259,-9387.74,1.96197,0.355235
112000,4,22.5455,-9380.89,3.10908,0.322
114000,3,23.1567,-9374.23,1.01133,0.351
116000,5,24.803,-9352.68,6.09022,0.382
118000,3,19.6262,-9359.5,3.36326,0.323
120000,3,21.0566,-9361.78,0.775718,0.278
