generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,Acarospora_molybdina,Ropalospora_chloranta,0,0.032,0,0.005,0
10000,Acarospora_molybdina,Ropalospora_chloranta,0,0.0544406,0,0.0173691,0
10000,Agyrium_rufum,NA,227.903,0.116281,0,0.234399,0
10000,Thrombium_epigaeum,NA,218.628,0.0140784,0,0.224181,0
10000,Cryptodiscus_microstomus,NA,239.432,0.0356433,0,0.393812,0
10000,Allantoparmelia_alpicola,Melanelia_stygia,185.144,0.105813,0,0.00941121,0
20000,Acarospora_molybdina,Ropalospora_chloranta,0,0.053492,0,0.0171676,0
20000,Lepraria_pacifica,NA,236.445,0.0271545,0,0.0510674,0
20000,Herteliana_taylorii,Pilophorus_strumaticus,186,0.119813,0,0.00309573,0
20000,Allantoparmelia_alpicola,Melanelia_stygia,183.867,0.102779,0,0.0199817,0
30000,Acarospora_molybdina,Ropalospora_chloranta,0,0.0500769,0,0.0142737,0
30000,Schaereria_corticola,Schaereria_fuscocinerea,29.9018,0.100612,0,0.102827,0
30000,Aspicilia_myrinii,NA,201.108,0.202142,0,0.253568,0
30000,Thrombium_epigaeum,NA,188.091,0.102679,0,0.189677,0
30000,Carbonicola_anthracophila,Lecidea_roseotincta,160.281,0.0844064,0,0.023925,0
30000,Herteliana_taylorii,Pilophorus_strumaticus,181.4,0.124343,0,0.00036629,0
30000,Allantoparmelia_alpicola,Melanelia_stygia,183.818,0.103662,0,0.00952747,0
40000,Acarospora_molybdina,Ropalospora_chloranta,0,0.0444619,0,0.00751292,0
40000,Schaereria_corticola,Schaereria_fuscocinerea,26.1116,0.0110358,0,0.000897807,0
40000,Aspicilia_leprosescens,NA,239.25,0.0479688,0,0.603689,0
40000,Thrombium_epigaeum,NA,227.999,0.00656228,0,0.344713,0
40000,Trichoramalina_crinita,Ramalinopsis_mannii,191.181,0.128643,0,0.00563609,0
40000,Rhizoplaca_shushanii,Rhizoplaca_idahoensis,230.878,0.456174,0,0.355977,0
40000,Herteliana_taylorii,Pilophorus_strumaticus,177.057,0.114603,0,0.00126143,0
40000,Gowardia_arctica,Allantoparmelia_alpicola,181.771,0.117898,0,0.0327965,0
50000,Acarospora_molybdina,Ropalospora_chloranta,0,0.0441114,0,0.00543428,0
50000,Schaereria_corticola,Schaereria_fuscocinerea,26.7161,0.0107448,0,0.00754412,0
50000,Thrombium_epigaeum,NA,188.118,0.064424,0,0.163829,0
50000,Cyanodermella_viridula,Absconditella_sphagnorum,64.1786,0.0204457,0,0.00265726,0
50000,Ocellularia_garoana,Ocellularia_fenestrata,219.704,0.18058,0,0.11518,0
50000,Chroodiscus_australiensis,Chroodiscus_homchantarae,228.756,0.198826,0,0.0578345,0
50000,Tetramelas_confusus,Buellia_anisomera,217.026,0.267393,0,0.132839,0
50000,Nephroma_flavorhizinatum,Nephroma_plumbeum,201.385,0.0875314,0,0.0442998,0
50000,Ramalinopsis_mannii,Ramalina_leptocarpha,206.852,0.120253,0,0.0154197,0
50000,Rhizoplaca_shushanii,Rhizoplaca_idahoensis,235.278,0.386971,0,0.00444557,0
50000,Herteliana_taylorii,Pilophorus_strumaticus,189.906,0.126292,0,0.00621632,0
50000,Allantoparmelia_alpicola,Melanelia_stygia,185.166,0.120554,0,0.0385812,0
60000,Acarospora_molybdina,Ropalospora_chloranta,0,0.0444198,0,0.00471715,0
60000,Boreoplaca_ultrafrigida,NA,222.678,0.1486,0,0.260869,0
60000,Schaereria_corticola,Schaereria_fuscocinerea,29.085,0.00940433,0,0.00197305,0
60000,Lecanora_toroyensis,NA,239.253,0.148947,0,0.0541005,0
60000,Lithographa_tesserata,NA,167.108,0.121268,0,0.151082,0
60000,Varicellaria_rhodocarpa,NA,236.714,0.0153441,0,0.286212,0
60000,Ainoa_mooreana,NA,239.088,0.188916,0,0.244484,0
60000,Thrombium_epigaeum,NA,221.691,0.01752,0,0.286772,0
60000,Cyanodermella_viridula,Absconditella_sphagnorum,62.5949,0.0266578,0,0.00676597,0
60000,Clauzadea_monticola,Bryobilimbia_australis,87.3984,0.0167736,0,0.00263672,0
60000,Bryonora_castanea,NA,230.607,0.107126,0,0.0726287,0
60000,Gyalidea_praetermissa,NA,206.948,0.0713868,0,0.0657476,0
60000,Petractis_luetkemuelleri,Petractis_nodispora,203.884,0.0218508,0,0.0161953,0
60000,Leucodecton_occultum,Leucodecton_glaucescens,210.843,0.189982,0,0.12136,0
60000,Tetramelas_confusus,Buellia_anisomera,228.606,0.154997,0,0.0203973,0
60000,Ocellularia_massalongoi,NA,216.481,0.100894,0,0.00378843,0
60000,Dirinaria_confusa,Pyxine_albovirens,207.547,0.154495,0,0.016013,0
60000,Flavoparmelia_haysomii,Flavoparmelia_haywardiana,238.884,0.104966,0,0.0241197,0
60000,Japewia_subaurifera,Bryonora_castanea,169.224,0.0811126,0,0.0140817,0
60000,Herteliana_taylorii,Pilophorus_strumaticus,187.29,0.110191,0,0.00215332,0
60000,Gowardia_arctica,Allantoparmelia_alpicola,181.145,0.101622,0,0.0173918,0
70000,Acarospora_molybdina,Ropalospora_chloranta,0,0.0435989,0,0.00284244,0
70000,Canoparmelia_caroliniana,Canoparmelia_nairobiensis,201.962,0.38132,0,0.281534,0
70000,Ropalospora_chloranta,Fuscidea_intercincta,18.8697,0.0211724,0,0.00413525,0
70000,Schaereria_corticola,Schaereria_fuscocinerea,33.6997,0.0306958,0,0.0253834,0
70000,Pertusaria_hemisphaerica,Pertusaria_lactea,242.777,0.163148,0,0.168176,0
70000,Lithographa_tesserata,NA,234.75,0.105057,0,0.3832,0
70000,Psilolechia_clavulifera,NA,227.118,0.0425464,0,0.00731578,0
70000,Aspicilia_myrinii,NA,181.453,0.0584316,0,0.127188,0
70000,Circinaria_calcarea,NA,242.468,0.0991438,0,0.0442505,0
70000,Hymenelia_lacustris,NA,197.98,0.0864153,0,0.112009,0
70000,Trapeliopsis_bisorediata,NA,231.868,0.0831418,0,0.433018,0
70000,Thrombium_epigaeum,NA,205.189,0.134766,0,0.257711,0
70000,Cyanodermella_viridula,Absconditella_sphagnorum,64.3164,0.0334726,0,0.00995981,0
70000,Redonographa_saxiseda,NA,218.18,0.0974083,0,0.0791423,0
70000,Tetramelas_confusus,Buellia_anisomera,205.183,0.170359,0,0.0501968,0
70000,Gyalecta_truncigena,NA,244.621,0.100873,0,0.165271,0
70000,Pseudocyphellaria_divulsa,NA,182.509,0.0291455,0,0.00985309,0
70000,Ramalinopsis_mannii,Ramalina_leptocarpha,206.695,0.114454,0,0.0089137,0
70000,Rhizoplaca_shushanii,Rhizoplaca_idahoensis,235.994,0.334841,0,0.0337964,0
70000,Carbonicola_anthracophila,Japewia_subaurifera,165.422,0.0676051,0,0.000436145,0
70000,Cladonia_staufferi,NA,245.318,0.0732561,0,0.0109789,0
70000,Herteliana_taylorii,Pilophorus_strumaticus,187.434,0.119078,0,0.00192415,0
70000,Gowardia_arctica,Allantoparmelia_alpicola,181.282,0.1235,0,0.0313286,0
80000,Acarospora_molybdina,Ropalospora_chloranta,0,0.0501349,0,0.00675398,0
80000,Ropalospora_chloranta,Fuscidea_intercincta,18.994,0.0208921,0,0.000494394,0
80000,Loxospora_lecanoriformis,NA,227.838,0.200334,0,0.295225,0
80000,Schaereria_corticola,Schaereria_fuscocinerea,25.1753,0.00459276,0,0.00420143,0
80000,Miltidea_ceroplasta,NA,184.586,0.0519774,0,0.0696223,0
80000,Microcalicium_arenarium,Pertusaria_ophthalmiza,42.6798,0.0269194,0,0.00400958,0
80000,Cameronia_pertusarioides,Hymenelia_lacustris,44.3146,0.0147679,0,0.00105139,0
80000,Lithographa_tesserata,NA,206.473,0.0326206,0,0.176837,0
80000,Thrombium_epigaeum,NA,224.456,0.379823,0,0.697523,0
80000,Diploicia_canescens,NA,233.093,0.123735,0,0.143244,0
80000,Diplotomma_rivas_martinezii,Dirinaria_aegialita,183.349,0.189801,0,0.157278,0
80000,Tetramelas_confusus,Buellia_anisomera,226.814,0.163714,0,0.0740473,0
80000,Nephroma_resupinatum,NA,226.815,0.0241015,0,0.173659,0
80000,Coccocarpia_domingensis,Steinera_symptychia,80.5143,0.0391516,0,0.000461897,0
80000,Psilolechia_leprosa,NA,226.939,0.0543989,0,0.0935306,0
80000,Ramalinopsis_mannii,Ramalina_leptocarpha,206.964,0.111343,0,0.0049706,0
80000,Rhizoplaca_shushanii,Rhizoplaca_idahoensis,238.849,0.769653,0,0.512419,0
80000,Herteliana_taylorii,Pilophorus_strumaticus,178.527,0.119856,0,0.00210664,0
80000,Allantoparmelia_alpicola,Melanelia_stygia,185.221,0.11031,0,0.0245569,0
90000,Acarospora_molybdina,Ropalospora_chloranta,0,0.039186,0,0.000137903,0
90000,Ropalospora_chloranta,Fuscidea_intercincta,16.7005,0.0180324,0,0.00101394,0
90000,Schaereria_corticola,Schaereria_fuscocinerea,27.7927,0.00772614,0,0.00350625,0
90000,Aspicilia_myrinii,NA,193.101,0.135488,0,0.199159,0
90000,Lithographa_tesserata,NA,179.821,0.00409501,0,0.0637947,0
90000,Aspicilia_coronata,NA,212.05,0.0349388,0,0.0740244,0
90000,Cameronia_pertusarioides,Cameronia_tecta,202.905,0.160615,0,0.292012,0
90000,Thrombium_epigaeum,NA,232.837,0.0239175,0,0.333961,0
90000,Cyanodermella_viridula,Absconditella_sphagnorum,63.0503,0.0470723,0,0.0345015,0
90000,Cryptodiscus_rhopaloides,NA,176.409,0.00828232,0,0.0450599,0
