"ID" "species" "pca" "segclass" "colordiscrim"
"1" "Acanthagenys_rufogularis" -0.53 -0.64 -0.45
"2" "Acanthiza_apicalis" 0.07 -0.26 -0.3
"3" "Acanthiza_chrysorrhoa" -0.32 -0.52 -0.55
"4" "Acanthiza_lineata" -0.7 -0.75 -0.69
"5" "Acanthiza_nana" -0.19 -0.47 -0.24
"6" "Acanthiza_pusilla" -0.21 -0.48 -0.46
"7" "Acanthiza_reguloides" -0.8 -0.65 -0.61
"8" "Acanthiza_uropygialis" -0.29 -0.44 -0.58
"9" "Acanthorhynchus_tenuirostris" -0.85 -0.29 -0.42
"10" "Accipiter_cirrocephalus" -0.03 -0.2 -0.2
"11" "Accipiter_fasciatus" -0.46 -0.51 -0.34
"12" "Accipiter_gentilis" -0.2 -0.56 -0.54
"13" "Accipiter_nisus" -0.41 -0.71 -0.77
"14" "Accipiter_novaehollandiae" 0.66 -0.55 -0.75
"15" "Acridotheres_tristis" -0.57 -0.45 -0.59
"16" "Acrocephalus_arundinaceus" -0.78 -0.82 -0.68
"17" "Acrocephalus_palustris" 0.06 -0.47 -0.43
"18" "Acrocephalus_schoenobaenus" -0.44 -0.66 -0.51
"19" "Acrocephalus_scirpaceus" -0.06 -0.42 -0.14
"20" "Acrocephalus_stentoreus" -0.59 -0.73 -0.51
"21" "Aegolius_funereus" -0.41 -0.64 -0.66
"22" "Aethia_pusilla" -0.66 -0.77 -0.62
"23" "Agelaius_phoeniceus" 1.06 1.49 3.34
"24" "Agelaius_tricolor" 0.38 1.5 2.08
"25" "Ailuroedus_buccoides" -0.8 -0.57 -0.37
"26" "Ailuroedus_crassirostris" -0.8 -0.72 -0.51
"27" "Aimophila_botterii" -0.19 -0.52 -0.38
"28" "Aimophila_cassinii" -0.59 -0.73 -0.7
"29" "Aimophila_ruficeps" -0.32 -0.72 -0.72
"30" "Aix_sponsa" 0.75 0.29 -0.01
"31" "Alauda_arvensis" -0.69 -0.72 -0.6
"32" "Alca_torda" -0.63 -0.76 -0.79
"33" "Alectoris_graeca" -0.63 -0.79 -0.71
"34" "Alectoris_rufa" -0.54 -0.08 -0.08
"35" "Alectura_lathami" -0.72 -0.4 -0.52
"36" "Alethe_diademata" -0.63 -0.51 -0.43
"37" "Alethe_poliophrys" -0.78 -0.68 -0.55
"38" "Alisterus_scapularis" 1.02 3.32 2.04
"39" "Alle_alle" -0.75 -0.24 -0.55
"40" "Amalocichla_incerta" -0.59 -0.74 -0.66
"41" "Amblyornis_macgregoriae" 0.37 -0.39 -0.07
"42" "Ammodramus_caudacutus" -0.41 -0.71 -0.63
"43" "Ammodramus_leconteii" -0.12 -0.53 -0.25
"44" "Ammodramus_maritimus" -0.78 -0.59 -0.53
"45" "Ammodramus_savannarum" -0.43 -0.65 -0.61
"46" "Amphispiza_bilineata" -0.75 0.23 -0.54
"47" "Amytornis_purnelli" -0.79 -0.82 -0.6
"48" "Amytornis_striatus" -0.56 -0.25 -0.26
"49" "Anas_acuta" 1.98 0.27 0.17
"50" "Anas_americana" 2.26 0.18 -0.28
"51" "Anas_castanea" 0.13 0.19 0.15
"52" "Anas_clypeata" 1.4 0.14 0.22
"53" "Anas_crecca" 1.18 0.62 0.19
"54" "Anas_discors" 1.91 0.6 -0.2
"55" "Anas_georgica" 0.22 -0.54 -0.58
"56" "Anas_gracilis" -0.45 -0.72 -0.62
"57" "Anas_platyrhynchos" 0.91 0.34 0.46
"58" "Anas_rhynchotis" 0.56 0.91 0.44
"59" "Anas_rubripes" -0.45 -0.79 -0.64
"60" "Anas_superciliosa" -0.4 -0.61 -0.55
"61" "Anhinga_melanogaster" 5 1.42 0.24
"62" "Anisognathus_igniventris" -0.73 0.61 -0.43
"63" "Anous_stolidus" -0.7 -0.81 -0.77
"64" "Anser_albifrons" -0.4 -0.63 -0.5
"65" "Chen_caerulescens" NA 0.36 NA
"66" "Anthochaera_carunculata" -0.69 -0.63 -0.28
"67" "Anthochaera_chrysoptera" -0.45 -0.6 -0.58
"68" "Anthochaera_paradoxa" -0.34 -0.62 -0.58
"69" "Anthus_novaeseelandiae" -0.28 -0.46 -0.44
"70" "Anthus_pratensis" -0.75 -0.81 -0.66
"71" "Anthus_rubescens" -0.57 -0.74 -0.61
"72" "Anthus_spinoletta" -0.56 -0.65 -0.62
"73" "Oreolais_ruwenzorii" -0.57 -0.41 -0.38
"74" "Apalis_thoracica" -0.49 -0.6 -0.55
"75" "Aphelocoma_coerulescens" -0.29 -0.37 -0.43
"76" "Aphelocoma_ultramarina" -0.07 0.87 -0.39
"77" "Aplonis_metallica" -0.18 -0.21 -0.11
"78" "Aptenodytes_forsteri" 0.49 -0.21 -0.32
"79" "Apus_apus" -0.56 -0.6 -0.49
"80" "Aquila_chrysaetos" -0.78 -0.39 -0.39
"81" "Aramus_guarauna" -0.14 -0.38 -0.02
"82" "Archilochus_colubris" 0.2 1.22 1.26
"83" "Ardea_herodias" 0.86 -0.13 -0.5
"84" "Arenaria_interpres" -0.61 -0.52 -0.4
"85" "Arremonops_rufivirgatus" -0.53 -0.8 -0.66
"86" "Arses_telescophthalmus" 2.15 3.72 4.18
"87" "Artamus_cinereus" -0.54 -0.38 -0.61
"88" "Artamus_cyanopterus" -0.68 -0.14 -0.63
"89" "Artamus_leucorynchus" -0.57 0.28 -0.66
"90" "Artamus_maximus" -0.58 0.65 -0.65
"91" "Artamus_minor" -0.87 -0.72 -0.65
"92" "Asio_flammeus" -0.42 -0.58 -0.3
"93" "Asio_otus" -0.43 -0.54 -0.49
"94" "Astrapia_stephaniae" -0.21 1.56 3.08
"95" "Buteo_nitidus" -0.37 -0.65 -0.71
"96" "Atlapetes_albinucha" -0.43 -0.56 -0.55
"97" "Arremon_brunneinucha" -0.5 -0.57 -0.47
"98" "Atlapetes_pileatus" -0.13 -0.45 -0.42
"99" "Atlapetes_schistaceus" -0.45 -0.7 -0.63
"100" "Attagis_gayi" 0.23 -0.27 -0.29
"101" "Aulacorhynchus_prasinus" -0.38 0.49 0.19
"102" "Auriparus_flaviceps" -0.25 -0.63 -0.46
"103" "Aviceda_subcristata" 0.02 0.06 -0.04
"104" "Aythya_affinis" -0.21 0.2 0.43
"105" "Aythya_collaris" 0.81 -0.01 -0.29
"106" "Aythya_marila" 2.1 0.96 0.76
"107" "Aythya_valisineria" 1.2 0.54 0.38
"108" "Baryphthengus_martii" -0.7 -0.26 -0.19
"109" "Basileuterus_belli" -0.09 -0.57 -0.24
"110" "Basileuterus_bivittatus" -0.29 -0.56 -0.16
"111" "Basileuterus_coronatus" -0.12 -0.49 -0.22
"112" "Basileuterus_delatrii" -0.62 -0.56 -0.46
"113" "Basileuterus_melanogenys" -0.37 -0.59 -0.47
"114" "Basileuterus_rufifrons" -0.11 -0.59 -0.37
"115" "Batis_mixta" 0.61 2.59 1.53
"116" "Batis_molitor" 1.4 1.41 1.23
"117" "Biziura_lobata" -0.78 -0.39 -0.58
"118" "Bombycilla_cedrorum" -0.64 -0.67 -0.5
"119" "Bombycilla_garrulus" NA -0.25 -0.35
"120" "Bonasa_umbellus" -0.22 -0.53 -0.47
"121" "Branta_bernicla" -0.36 -0.6 -0.72
"122" "Branta_canadensis" -0.65 -0.69 -0.68
"123" "Branta_leucopsis" -0.1 -0.52 -0.72
"124" "Branta_sandvicensis" NA -0.64 NA
"125" "Brotogeris_cyanoptera" -0.81 -0.37 -0.29
"126" "Bubo_virginianus" -0.27 -0.59 -0.52
"127" "Bucephala_albeola" 2.68 1.3 0.92
"128" "Burhinus_grallarius" 0.03 -0.55 -0.63
"129" "Buteo_buteo" -0.67 -0.71 -0.51
"130" "Buteo_jamaicensis" -0.61 -0.69 -0.61
"131" "Buteo_lagopus" -0.53 -0.47 -0.54
"132" "Buteo_magnirostris" -0.79 -0.81 -0.73
"133" "Buteo_platypterus" -0.52 -0.61 -0.52
"134" "Buthraupis_montana" -0.06 -0.33 -0.68
"135" "Cacatua_galerita" 0.7 -0.51 -0.75
"136" "Cacicus_cela" 0.37 1.5 0.12
"137" "Cairina_moschata" 0.27 0.13 0.33
"138" "Calamanthus_campestris" 0.06 -0.49 -0.43
"139" "Calamospiza_melanocorys" 3.1 1.12 1.03
"140" "Calandrella_cinerea" 0.02 -0.52 -0.67
