generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
1,Polyodon_spathula,Chitala_chitala,0,0.2,0,0.05,0
200001,Polyodon_spathula,Chitala_chitala,0,0.105404,0,0.062921,0
200001,Chitala_chitala,Hiodon_alosoides,138.884,0.242788,0,0.230554,0
200001,Barbourisia_rufa,NA,287.544,0.58204,0,0.598934,0
200001,Siganus_rivulatus,Chlorurus_sordidus,306.612,0.144124,0,0.0509829,0
200001,Anotopterus_pharao,NA,304.869,0.135758,0,0.139575,0
200001,Cephalopholis_leopardus,Aethaloperca_rogaa,298.842,0.120683,0,7.67657e-05,0
200001,Bilabria_ornata,Gymnelus_viridis,322.231,0.322747,0,0.0688563,0
200001,Cottus_princeps,Cottus_greenei,329.02,0.41908,0,0.0858529,0
200001,Crystallichthys_cyclospilus,Jordania_zonope,302.209,0.121038,0,0.0118185,0
200001,Mesonauta_egregius,Nannacara_anomala,303.703,0.15812,0,0.015278,0
200001,Poecilia_wingei,Pseudopoecilia_festae,310.911,0.14563,0,0.00278425,0
200001,Ponticola_syrman,Caspiosoma_caspium,310.327,0.457125,0,0.332175,0
200001,Synodontis_sorex,Synodontis_zambezensis,320.747,0.410982,0,0.186272,0
200001,Diplomystes_nahuelbutaensis,Rita_rita,249.203,0.107278,0,0.0297865,0
200001,Sebastes_matsubarai,Sebastes_proriger,332.953,0.562961,0,0.101646,0
200001,Herichthys_minckleyi,NA,343.036,0.335938,0,0.33724,0
200001,Archocentrus_multispinosus,Herichthys_minckleyi,329.546,0.310899,0,0.0234857,0
200001,Stomatepia_mongo,Pungu_maclareni,341.871,1.2455,0,0.0948026,0
200001,Hemibates_stenosoma,Tilapia_mariae,329.098,0.350954,0,0.0015947,0
200001,Tilapia_rendalli,Etia_nguti,314.95,0.238753,0,0.0793036,0
200001,Melanotaenia_affinis,Melanotaenia_japenensis,326.486,0.234047,0,0.0706136,0
200001,Cheilopogon_exsiliens,Cheilopogon_pinnatibarbatus_californicus,327.946,0.267457,0,0.0262307,0
200001,Neoheterandria_elegans,NA,342.383,0.335065,0,1.43587,0
200001,Cyprinodon_maya,Cyprinodon_artifrons,333.719,0.406066,0,0.10057,0
200001,Pomacentrus_leptus,NA,342.333,0.698091,0,0.400466,0
200001,Microstomus_kitt,Verasper_moseri,321.086,0.310416,0,0.155981,0
200001,Mastacembelus_frenatus,Mastacembelus_albomaculatus,323.527,0.405343,0,0.179694,0
200001,Elacatinus_randalli,Elacatinus_chancei,326.426,0.23877,0,0.0371618,0
200001,Hippocampus_comes,Hippocampus_sindonis,317.422,0.283732,0,0.189927,0
200001,Halobatrachus_didactylus,Corythoichthys_intestinalis,227.616,0.072295,0,0.0498823,0
200001,Coryphaenoides_subserrulatus,Mesobius_antipodum,304.259,0.161881,0,0.00587842,0
200001,Synodus_ulae,Ahliesaurus_berryi,213.865,0.053352,0,0.0167589,0
200001,Stenodus_leucichthys,Coregonus_artedi,334.406,0.834044,0,0.628327,0
200001,Nansenia_candida,NA,344.468,0.469449,0,1.58922,0
200001,Sternoptyx_obscura,Sternoptyx_pseudobscura,342.646,1.38345,0,0.69666,0
200001,Jenkinsia_lamprotaenia,NA,299.164,0.173846,0,0.302597,0
200001,Alosa_fallax,Alosa_aestivalis,331.551,1.04978,0,0.897509,0
200001,Otocinclus_vestitus,Hemiancistrus_hammarlundi,305.095,0.236053,0,0.0787638,0
200001,Clarias_stappersii,Heterobranchus_isopterus,322.736,0.262539,0,0.137116,0
200001,Leiocassis_longirostris,Leiocassis_crassilabris,340.69,0.884427,0,0.594397,0
200001,Astyanax_orthodus,Astyanax_jordani,338.266,1.35591,0,0.81089,0
200001,Mylossoma_duriventre,Iguanodectes_geisleri,295.918,0.380568,0,0.267868,0
200001,Pelecus_cultratus,Leuciscus_waleckii,310.534,0.196962,0,0.0193396,0
200001,Macrochirichthys_macrochirus,Acheilognathus_tabira_tabira,295.934,0.112084,0,0.00460417,0
200001,Spinibarbus_hollandi,Ptychobarbus_dipogon,311.94,0.28459,0,0.14167,0
200001,Pseudobarbus_asper,Catlocarpio_siamensis,297.073,0.11177,0,0.00698618,0
200001,Sabanejewia_caucasica,NA,338.222,0.725341,0,0.957039,0
200001,Sabanejewia_larvata,Misgurnus_fossilis,306.753,0.225162,0,0.104066,0
200001,Gavialiceps_taeniola,NA,342.696,1.70686,0,2.31776,0
200001,Gymnothorax_fimbriatus,Gymnothorax_reevesii,339.682,1.16309,0,0.759805,0
200001,Elops_affinis,Albula_glossodonta,208.688,0.0689318,0,0.0583008,0
200001,Amia_calva,Atractosteus_spatula,51.8048,0.0902623,0,0.0827517,0
400001,Polyodon_spathula,Chitala_chitala,0,0.0884531,0,0.0426538,0
400001,Myomyrus_macrops,Petrocephalus_grandoculis,298.648,0.932084,0,0.891612,0
400001,Chitala_chitala,Hiodon_alosoides,130.554,0.276431,0,0.277281,0
400001,Barbourisia_rufa,NA,318.127,0.168456,0,0.49572,0
400001,Siganus_rivulatus,Chlorurus_sordidus,301.093,0.0980364,0,0.0115685,0
400001,Lophius_gastrophysus,Lophius_budegassa,325.832,0.578663,0,0.753079,0
400001,Cyprinodon_maya,Cyprinodon_artifrons,333.101,0.53343,0,0.457501,0
400001,Takifugu_vermicularis,Takifugu_pardalis,339.392,0.634593,0,0.103581,0
400001,Hyporthodus_flavolimbatus,Hyporthodus_acanthistius,317.292,0.149789,0,0.0153761,0
400001,Cryptacanthodes_giganteus,NA,344.331,0.386778,0,2.99407,0
400001,Gymnelus_hemifasciatus,Lycodes_brevipes,324.065,0.391932,0,0.124948,0
400001,Cheilopogon_exsiliens,Cheilopogon_cyanopterus,337.12,0.277157,0,0.136908,0
400001,Cottus_princeps,Cottus_greenei,330.654,0.494075,0,0.257812,0
400001,Cryptacanthodes_giganteus,Anoplopoma_fimbria,292.604,0.116728,0,0.0232432,0
400001,Sebastes_matsubarai,Sebastes_proriger,334.001,0.541656,0,0.0916208,0
400001,Australoheros_scitulus,Vieja_tuyrensis,324.666,0.260093,0,0.0339015,0
400001,Cichla_orinocensis,Cichla_kelberi,340.427,1.31627,0,0.681475,0
400001,Neolamprologus_cylindricus,Grammatotria_lemairii,330.599,0.372998,0,0.0286797,0
400001,Tilapia_rendalli,Chilochromis_duponti,316.583,0.298103,0,0.0976095,0
400001,Paretroplus_polyactis,Astronotus_crassipinnis,244.984,0.113517,0,0.0470921,0
400001,Melanotaenia_affinis,Melanotaenia_japenensis,323.977,0.245784,0,0.0567379,0
400001,Exocoetus_volitans,Cheilopogon_agoo,318.575,0.195066,0,0.0225305,0
400001,Skiffia_bilineata,NA,344.665,0.209398,0,0.593156,0
400001,Poecilia_wingei,Tomeurus_gracilis,302.107,0.144663,0,0.0185272,0
400001,Zenopsis_conchifer,Zenopsis_nebulosa,219.742,0.0971101,0,0.093827,0
400001,Microstomus_kitt,Verasper_moseri,320.926,0.20996,0,0.0717882,0
400001,Mastacembelus_cryptacanthus,Mastacembelus_frenatus,320.375,0.223502,0,0.0321992,0
400001,Ponticola_syrman,Mesogobius_batrachocephalus,314.642,0.384869,0,0.246262,0
400001,Elacatinus_randalli,Elacatinus_chancei,325.322,0.306505,0,0.0612965,0
400001,Milyeringa_brooksi,Protogobius_attiti,256.936,0.0701847,0,0.00757391,0
400001,Hippocampus_comes,Hippocampus_sindonis,314.868,0.195064,0,0.0447955,0
400001,Halobatrachus_didactylus,Corythoichthys_intestinalis,227.717,0.038354,0,0.000854723,0
400001,Coryphaenoides_subserrulatus,Coryphaenoides_yaquinae,308.097,0.384119,0,0.23857,0
400001,Limnichthys_fasciatus,Chologaster_cornuta,211.559,0.0239391,0,0.000429126,0
400001,Stenodus_leucichthys,Coregonus_artedi,331.636,0.433389,0,0.305287,0
400001,Oncorhynchus_kisutch,Brachymystax_lenok,308.318,0.746476,0,0.62136,0
400001,Brevoortia_patronus,Alosa_chrysochloris,328.665,0.53693,0,0.485153,0
400001,Otocinclus_vestitus,Hemiancistrus_hammarlundi,300.349,0.158713,0,0.0103546,0
400001,Clarias_stappersii,Heterobranchus_isopterus,325.636,0.639297,0,0.571886,0
400001,Osteogeneiosus_militaris,Tachysurus_sinensis,315.767,0.159405,0,0.0105952,0
400001,Centromochlus_heckelii,NA,344.647,0.856162,0,1.68723,0
400001,Leptodoras_juruensis,NA,341.704,0.138972,0,0.303069,0
400001,Microspathodon_chrysurus,NA,343.055,1.598,0,1.54462,0
400001,Synodus_ulae,Ahliesaurus_berryi,201.397,0.0365814,0,0.00326091,0
400001,Gnathocharax_steindachneri,Prochilodus_nigricans,260.358,0.157227,0,0.0812859,0
400001,Synodontis_sorex,Synodontis_zambezensis,326.22,0.370127,0,0.0745193,0
400001,Diplomystes_nahuelbutaensis,Rita_rita,252.285,0.0919296,0,0.0121016,0
400001,Gnathocharax_steindachneri,NA,286.866,1.19877,0,1.11684,0
400001,Astyanax_orthodus,Astyanax_jordani,339.842,0.712263,0,0.0613833,0
400001,Metynnis_maculatus,Serrasalmus_elongatus,329.61,0.459647,0,0.206166,0
400001,Alburnoides_bipunctatus,Ballerus_ballerus,321.973,0.217352,0,0.00819734,0
400001,Epinephelus_cyanopodus,NA,343.45,0.0682303,0,0.844808,0
400001,Macrochirichthys_macrochirus,Acheilognathus_tabira_tabira,291.053,0.108436,0,0.00402605,0
400001,Ptychobarbus_dipogon,Puntius_sarana,313.256,0.342433,0,0.218199,0
400001,Pseudobarbus_asper,Catlocarpio_siamensis,298.178,0.108138,0,0.00325235,0
400001,Sabanejewia_larvata,Cobitis_misgurnoides,304.186,0.411191,0,0.363906,0
400001,Serrivomer_sector,NA,344.528,1.32768,0,0.0640287,0
400001,Myrophis_platyrhynchus,Echelus_myrus,272.797,0.29912,0,0.229663,0
400001,Megalops_atlanticus,NA,318.687,1.44424,0,1.56007,0
400001,Amia_calva,Atractosteus_spatula,52.4898,0.0208861,0,0.0197314,0
600001,Polyodon_spathula,Chitala_chitala,0,0.0762308,0,0.0468308,0
600001,Myomyrus_macrops,Petrocephalus_grandoculis,307.399,0.451343,0,0.351273,0
600001,Halichoeres_radiatus,NA,344.284,0.218933,0,1.09897,0
600001,Centrolabrus_exoletus,Symphodus_roissali,326.458,0.334117,0,0.0631337,0
600001,Siganus_rivulatus,Cephalopholis_argus,291.926,0.0931995,0,0.002801,0
600001,Takifugu_flavidus,Takifugu_vermicularis,332.934,0.734153,0,0.194969,0
600001,Nematobrycon_palmeri,NA,342.074,0.224999,0,0.11939,0
600001,Paragobiodon_echinocephalus,NA,343.381,0.979846,0,0.444115,0
600001,Naso_maculatus,Naso_annulatus,331.882,0.368896,0,0.225004,0
600001,Aethaloperca_rogaa,Cephalopholis_polleni,304.503,0.122511,0,0.00627596,0
600001,Gymnelus_hemifasciatus,Lycodes_brevipes,324.445,0.318535,0,0.00948922,0
600001,Cottus_greenei,Cottus_sibiricus,332.681,0.643417,0,0.376642,0
600001,Cryptacanthodes_giganteus,Hexagrammos_lagocephalus,295.313,0.155763,0,0.0693227,0
600001,Sebastes_matsubarai,Sebastes_proriger,334.829,0.431737,0,0.0520272,0
600001,Astronotus_crassipinnis,Astronotus_ocellatus,332.885,0.149399,0,0.359751,0
600001,Australoheros_scitulus,Vieja_tuyrensis,323.494,0.225295,0,0.0495977,0
600001,Hemibates_stenosoma,Boulengerochromis_microlepis,330.205,0.329292,0,0.00592386,0
600001,Tilapia_rendalli,Etia_nguti,314.321,0.485389,0,0.357731,0
600001,Paretroplus_polyactis,Astronotus_crassipinnis,265.028,0.0893896,0,0.000416257,0
600001,Melanotaenia_lacustris,Melanotaenia_duboulayi,329.538,0.244115,0,0.0466924,0
600001,Exocoetus_volitans,Cheilopogon_agoo,312.577,0.199304,0,0.0230133,0
600001,Poecilia_wingei,Pseudopoecilia_festae,309.692,0.125732,0,0.00031936,0
600001,Cyprinodon_maya,Megupsilon_aporus,323.432,0.259235,0,0.0402637,0
600001,Labrisomus_multiporosus,NA,344.215,4.6302,0,2.38678,0
600001,Microstomus_kitt,Verasper_moseri,321.644,0.183716,0,0.0489758,0
600001,Latridopsis_ciliaris,Lepidogobius_lepidus,226.403,0.0720163,0,0.0156053,0
600001,Hippocampus_comes,Hippocampus_sindonis,317.182,0.158943,0,0.0233933,0
600001,Pseudorinelepis_genibarbis,NA,344.663,0.606999,0,3.08412,0
600001,Neogobius_caspius,Ponticola_syrman,302.045,0.174296,0,8.38859e-05,0
600001,Elacatinus_puncticulatus,Elacatinus_randalli,310.134,0.31486,0,0.146386,0
600001,Merluccius_senegalensis,Malacocephalus_laevis,278.855,0.227999,0,0.15801,0
600001,Coregonus_artedi,Coregonus_chadary,336.351,0.870461,0,0.557165,0
600001,Otocinclus_vestitus,Hemiancistrus_hammarlundi,302.755,0.179999,0,0.0123721,0
600001,Clarias_stappersii,Heterobranchus_isopterus,322.911,0.375848,0,0.205257,0
